Vernier Format 2
robotVelData.cmbl 11/14/2019 22:07:14 .
Data Set
X	Y1	W	Z2	Y2	Z1
x	y1	w	z2	y2	z1
					

10500	-3.86667	10500	 	-3.36667	 
10510	-3.86667	10510	 	-3.36667	 
10520	-3.86667	10520	 	-2.76667	 
10530	-3.86667	10530	 	-2.76667	 
10540	-3.86667	10540	 	-2.63333	 
10550	-3.86667	10550	 	-2.63333	 
10560	-3.86667	10560	 	-2.63333	 
10570	-3.23333	10570	 	-2.63333	 
10580	-3.23333	10580	 	-1.63333	 
10590	-3.23333	10590	 	-1.63333	 
10600	-3.76667	10600	 	-1.63333	 
10610	-3.76667	10610	 	-1.73333	 
10620	-3.76667	10620	 	-2.66667	 
10630	-2.33333	10630	 	-9.03333	 
10640	-2.7	10640	 	-14.2333	 
10650	-5.1	10650	 	-23.9	 
10660	-13.7333	10660	 	-30.5	 
10670	-23.4667	10670	 	-38.3333	 
10680	-32.6	10680	 	-45.9667	 
10690	-38.9	10690	 	-39.6	 
10700	-31.0333	10700	 	-27.6333	 
10710	-27.4667	10710	 	-17.5667	 
10720	-19	10720	 	-16.6333	 
10730	-14.9	10730	 	-27.2667	 
10740	-17.0333	10740	 	-42.4	 
10750	-35.4	10750	 	-49.2333	 
10760	-46.9667	10760	 	-42.1	 
10770	-52.6	10770	 	-39.8	 
10780	-48.4667	10780	 	-42.6	 
10790	-44.6	10790	 	-55.0667	 
10800	-45.7667	10800	 	-57.0667	 
10810	-49.7	10810	 	-62.1	 
10820	-57.6667	10820	 	-65.1333	 
10830	-64.6333	10830	 	-65.7	 
10840	-64.5	10840	 	-70.9333	 
10850	-66.2333	10850	 	-74.9667	 
10860	-70.7667	10860	 	-76.4667	 
10870	-74.5333	10870	 	-76.0333	 
10880	-77.2	10880	 	-75.2333	 
10890	-79.7667	10890	 	-69.3333	 
10900	-80.0667	10900	 	-59.7667	 
10910	-70.2333	10910	 	-56.8667	 
10920	-58.7	10920	 	-51.4333	 
10930	-54.7	10930	 	-47.3	 
10940	-51.8667	10940	 	-39.6667	 
10950	-48.9333	10950	 	-34.3667	 
10960	-45.4667	10960	 	-31.1667	 
10970	-43.5667	10970	 	-1.1	 
10980	-41.4667	10980	 	-23.3	 
10990	-1.1	10990	 	-18.1	 
11000	-39.2667	11000	 	-0.566667	 
11010	-35.6333	11010	 	-13.0667	 
11020	-0.566667	11020	 	-8.83333	 
11030	-31.6667	11030	 	-8.83333	 
11040	-26.8	11040	 	-8.83333	 
11050	-22.6333	11050	 	-8.83333	 
11060	-22.6333	11060	 	1.1	 
11070	-17.5333	11070	 	-8.83333	 
11080	1.1	11080	 	1.1	 
11090	-13.2333	11090	 	-8.83333	 
11100	1.1	11100	 	-8.86667	 
11110	-9.03333	11110	 	-8.86667	 
11120	-9.03333	11120	 	-8.86667	 
11130	-2.1	11130	 	9.1	 
11140	-2.1	11140	 	-7.1	 
11150	9.1	11150	 	9.1	 
11160	-2.1	11160	 	-7.1	 
11170	9.1	11170	 	9.1	 
11180	-1.26667	11180	 	-7.1	 
11190	9.1	11190	 	-9.26667	 
11200	-1.26667	11200	 	1.83333	 
11210	-1.26667	11210	 	1.83333	 
11220	5.26667	11220	 	1.83333	 
11230	5.26667	11230	 	1.83333	 
11240	81.0667	11240	 	1.83333	 
11250	81.0667	11250	 	1.83333	 
11260	3.3	11260	 	1.83333	 
11270	3.3	11270	 	1.83333	 
11280	3.3	11280	 	1.83333	 
11290	3.3	11290	 	1.83333	 
11300	3.3	11300	 	1.83333	 
11310	3.3	11310	 	1.83333	 
11320	3.3	11320	 	1.83333	 
11330	3.3	11330	 	 	 
11340	3.3	11340	 	 	 
11350	3.3	11350	 	 	 
11360	1.66667	11360	 	 	 
11370	1.66667	11370	 	 	 
11380	1.66667	11380	 	 	 
11390	 	11390	 	 	 
11400	 	11400	 	 	 
11410	 	11410	 	 	 
11420	 	11420	 	 	 
11430	 	11430	 	 	 
11440	 	11440	 	 	 
11450	 	11450	 	 	 
11460	 	11460	 	 	 
11470	 	11470	 	 	 
11480	 	11480	 	 	 
11490	 	11490	 	 	 
11500	 	11500	 	 	 
11510	 	11510	 	 	 
11520	 	11520	 	 	 
11530	 	11530	 	 	 
11540	 	11540	 	 	 
11550	 	11550	 	 	 
11560	 	11560	 	 	 
11570	 	11570	 	 	 
11580	 	11580	 	 	 
11590	 	11590	 	 	 
11600	 	11600	 	 	 
11610	 	11610	 	 	 
11620	 	11620	 	 	 
11630	 	11630	 	 	 
11640	 	11640	 	 	 
11650	 	11650	 	 	 
11660	 	11660	 	 	 
11670	 	11670	 	 	 
11680	 	11680	 	 	 
11690	 	11690	 	 	 
11700	 	11700	 	 	 
11710	 	11710	 	 	 
11720	 	11720	 	 	 
11730	 	11730	 	 	 
11740	 	11740	 	 	 
11750	 	11750	 	 	 
11760	 	11760	 	 	 
11770	 	11770	 	 	 
11780	 	11780	 	 	 
11790	 	11790	 	 	 
11800	 	11800	 	 	 
11810	 	11810	 	 	 
11820	 	11820	 	 	 
11830	 	11830	 	 	 
11840	 	11840	 	 	 
11850	 	11850	 	 	 
11860	 	11860	 	 	 
11870	 	11870	 	 	 
11880	 	11880	 	 	 
11890	 	11890	 	 	 
11900	 	11900	 	 	 
11910	 	11910	 	 	 
11920	 	11920	 	 	 
11930	 	11930	 	 	 
11940	 	11940	 	 	 
11950	 	11950	 	 	 
11960	 	11960	 	 	 
11970	 	11970	 	 	 
11980	 	11980	 	 	 
11990	 	11990	 	 	 
12000	 	12000	 	 	 
12010	 	12010	 	 	 
12020	 	12020	 	 	 
12030	 	12030	 	 	 
12040	 	12040	 	 	 
12050	 	12050	 	 	 
12060	 	12060	 	 	 
12070	 	12070	 	 	 
12080	 	12080	 	 	 
12090	 	12090	 	 	 
12100	 	12100	 	 	 
12110	 	12110	 	 	 
12120	 	12120	 	 	 
12130	 	12130	 	 	 
12140	 	12140	 	 	 
12150	 	12150	 	 	 
12160	 	12160	 	 	 
12170	 	12170	 	 	 
12180	 	12180	 	 	 
12190	 	12190	 	 	 
12200	 	12200	 	 	 
12210	 	12210	 	 	 
12220	 	12220	 	 	 
12230	 	12230	 	 	 
12240	 	12240	 	 	 
12250	 	12250	 	 	 
12260	 	12260	 	 	 
12270	 	12270	 	 	 
12280	 	12280	 	 	 
12290	 	12290	 	 	 
12300	 	12300	 	 	 
12310	 	12310	 	 	 
12320	 	12320	 	 	 
12330	 	12330	 	 	 
12340	 	12340	 	 	 
12350	 	12350	 	 	 
12360	 	12360	 	 	 
12370	 	12370	 	 	 
12380	 	12380	 	 	 
12390	 	12390	 	 	 
12400	 	12400	 	 	 
12410	 	12410	 	 	 
12420	 	12420	 	 	 
12430	 	12430	 	 	 
12440	 	12440	 	 	 
12450	 	12450	 	 	 
12460	 	12460	 	 	 
12470	 	12470	 	 	 
12480	 	12480	 	 	 
12490	 	12490	 	 	 
12500	 	12500	 	 	 
12510	 	12510	 	 	 
12520	 	12520	 	 	 
12530	 	12530	 	 	 
12540	 	12540	 	 	 
12550	 	12550	 	 	 
12560	 	12560	 	 	 
12570	 	12570	 	 	 
12580	 	12580	 	 	 
12590	 	12590	 	 	 
12600	 	12600	 	 	 
12610	 	12610	 	 	 
12620	 	12620	 	 	 
12630	 	12630	 	 	 
12640	 	12640	 	 	 
12650	 	12650	 	 	 
12660	 	12660	 	 	 
12670	 	12670	 	 	 
12680	 	12680	 	 	 
12690	 	12690	 	 	 
12700	 	12700	 	 	 
12710	 	12710	 	 	 
12720	 	12720	 	 	 
12730	 	12730	 	 	 
12740	 	12740	 	 	 
12750	 	12750	 	 	 
12760	 	12760	 	 	 
12770	 	12770	 	 	 
12780	 	12780	 	 	 
12790	 	12790	 	 	 
12800	 	12800	 	 	 
12810	 	12810	 	 	 
12820	 	12820	 	 	 
12830	 	12830	 	 	 
12840	 	12840	 	 	 
12850	 	12850	 	 	 
12860	 	12860	 	 	 
12870	 	12870	 	 	 
12880	 	12880	 	 	 
12890	 	12890	 	 	 
12900	 	12900	 	 	 
12910	 	12910	 	 	 
12920	 	12920	 	 	 
12930	 	12930	 	 	 
12940	 	12940	 	 	 
12950	 	12950	 	 	 
12960	 	12960	 	 	 
12970	 	12970	 	 	 
12980	 	12980	 	 	 
12990	 	12990	 	 	 
13000	 	13000	 	 	 
13010	 	13010	 	 	 
13020	 	13020	 	 	 
13030	 	13030	 	 	 
13040	 	13040	 	 	 
13050	 	13050	 	 	 
13060	 	13060	 	 	 
13070	 	13070	 	 	 
13080	 	13080	 	 	 
